identifier;sportName;type;publisherName;publisherIdentifier;title;dateAccepted;number;status;url
2025-33/4.1/25;Бочча;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з бочча серед осіб з ураженнями опорно-рухового апарату;11.09.2025;33/4.1/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/Invasport/pravila-bocca.pdf
2025-32/3.5/25;Регбі;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з регбі;21.08.2025;32/3.5/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-regbi.pdf
2025-31/4.1/25;Легка атлетика;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з пара легкої атлетики серед осіб з ураженнями опорно-рухового апарату, порушеннями зору та розумового і фізичного розвитку;13.08.2025;31/4.1/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/Invasport/pr-la.pdf
2025-30/3.2/25;Кікбоксинг WАКО;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з кікбоксингу WAKO;08.08.2025;30/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-wako.pdf
2025-29/3.2/25;Комбат самозахист ІСО;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з комбат самозахист ІСО ;08.08.2025;29/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-kombat-iso.pdf
2025-28/3.2/25;Військово-технологічний спорт;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з військово-технологічного спорту;10.07.2025;28/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/viiskovo-texnologicnii-sport.pdf
2025-27/3.2/25;Шотокан карате-до С.К.І.Ф.;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з шотокан карате-до С.К.І.Ф.;30.06.2025;27/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/sotokan-karate-do-skif.pdf
2025-26/3.2/25;Фунакоші шотокан карате;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з фунакоші шотокан карате;19.06.2025;26/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/Invasport/pravila-funakosi-sotokan-karate.pdf
2025-25/4.1/25;Пауерліфтинг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з пара пауерліфтингу серед осіб з ураженнями опорно-рухового апарату;09.06.2025;25/4.1/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/Invasport/pravila-para-pauerliftingu.pdf
2025-24/3.2/25;Бойове самбо;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з бойового самбо;06.06.2025;24/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-boiove-sambo.pdf
2025-23/3.2/25;Комбат Дзю-Дзюцу;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з комбат Дзю-Дзюцу;30.05.2025;23/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-kombat-dziu-dziucu.pdf
2025-22/3.5/25;Бейсбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Офіційні правила гри з бейсболу5;13.05.2025;22/3.5/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-beisbol5.pdf
2025-21/3.5/25;Баскетбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила проведення спортивних змагань з баскетболу;05.05.2025;21/3.5/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/pravila-basketbol.pdf
2025-20/3.5/25;Баскетбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила проведення змагань з баскетболу 3х3;02.05.2025;20/3.5/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/basketbol-3x3.pdf
2025-19/3.2/25;Таїландський бокс Муей Тай;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з таїландського боксу Муей Тай;11.04.2025;19/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/%20бокс%20Муей%20Тай.pdf
2025-18/3.2/25;Боротьба самбо;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з боротьби самбо;03.04.2025;18/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/%20самбо.pdf
2025-17/3.2/25;Військово-технологічний спорт;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з військово-технологічного спорту;25.03.2025;17/3.2/25;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/%20військово-технологічний%20спорт.pdf
2025-16/3.2/25;Радіоспорт;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з радіоспорту;11.03.2025;16/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/Radiosport.pdf
2025-15/3.2/25;Флорбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з флорболу;07.03.2025;15/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/floorball.pdf
2025-14/3.2/25;Морські багатоборства;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з морських багатоборств;06.03.2025;14/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/moskbog.pdf
2025-13/3.1/25;Сучасне п'ятиборство;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила змагань з сучасного п'ятиборства;03.03.2025;13/3.1/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/z-suchasnogo-pyatiborstva.pdf
2025-12/3.2/25;Пляжний теніс;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з пляжного тенісу;03.03.2025;12/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/%20пляжний%20теніс.pdf
2025-11/3.2/25;Морські багатоборства;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з морських багатоборств;19.02.2025;11/3.2/25;Втратив чинність;null
2025-10/3.2/25;Таеквон-До;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з таеквон-До;13.02.2025;10/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/%20таеквон-До.pdf
2025-9/4.1/25;Волейбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з волейболу сидячи серед осіб з ураженнями опорно-рухового апарату;06.02.2025;9/4.1/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/Invasport/%20волейбол%20сидячи.pdf
2025-8/3.1/25;Гімнастика художня;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила змагань з гімнастики художньої 2025-2028;04.02.2025;8/3.1/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/%20гімнастика.pdf
2025-7/3.1/25;Веслування на байдарках і каное;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з веслування на байдарках і каное;03.02.2025;7/3.1/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/%20на%20байдарках%20і%20каное.pdf
2025-6/4.1/25;Пауерліфтинг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з пауерліфтингу серед осіб з порушеннями зору;28.01.2025;6/4.1/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/Invasport/%20з%20порушенням%20зору.pdf
2025-5/3.2/25;Альпінізм;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з альпінізму;24.01.2025;5/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/alpinizm.pdf
2025-4/3.1/25;Веслувальний слалом;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Зміни до Правил спортивних змагань з веслувального слалому від 09.06.2021 № 19/4.2/21;14.01.2025;4/3.1/25;Чинний;null
2025-3/3.5/25;Богатирське Богатоборство;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Зміни до Правил спортивних змагань з богатирського багатоборства;09.01.2025;3/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/_багатоборство.pdf
2025-2/3.2/25;Флаг-футбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з флаг-футболу;06.01.2025;2/3.5/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/Flagfotbool.pdf
2025-1/3.2/25;Гирьовий спорт;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з гирьового спорту;02.01.2025;1/3.2/25;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2025/%20спорт.pdf
2024-55/3.2/24;Пауерліфтинг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з пауерліфтингу;23.12.2024;55/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/Pauerlifting.pdf 
2024-54/3.1/24;Стрільба стендова;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі стрільби стендової;18.12.2024;54/3.1/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/Strilba%20stendova.pdf 
2024-53/3.2/24;Спортивний туризм;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі спортивного туризму;12.12.2024;53/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/Sport_tyrizm.pdf 
2024-52/3.2/24;Спорт з літаючим диском;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі спорту з літаючим диском ;12.12.2024;52/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/Sport%20z%20litauchim%20diskom.pdf 
2024-51/3.2/24;Го;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з го;10.12.2024;51/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/Prav_Go.pdf 
2024-50/3.2/24;Панкратіон;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з панкратіону;05.12.2024;50/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/Pankration_.pdf 
2024-49/3.2/24;Богатирське Богатоборство;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з богатирського багатоборства;04.12.2024;49/3.2/24;Зі змінами;null
2024-48/3.2/24;Петанк;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з петанку;28.11.2024;48/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%9F%D0%B5%D1%82%D0%B0%D0%BD%D0%BA.pdf 
2024-47/3.5/24;Лакрос ;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з лакросу шістки;21.11.2024;47/3.5/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/_%D0%9B%D0%B0%D0%BA%D1%80%D0%BE%D1%81.pdf 
2024-46/3.3/24;Кьорлінг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з кьорлінгу;08.11.2024;46/3.3/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/Kerling.pdf 
2024-45/3.1/24;Плавання ;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з плавання в адаптивному спорті серед спортсменів в категорії «НЕСКОРЕНІ» ;05.11.2024;45/3.1/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%BF%D0%BB%D0%B0%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F.pdf 
2024-44/3.5/24;Бейсбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Офіційні правила гри з бейсболу;30.10.2024;44/3.5/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%B1%D0%B5%D0%B9%D1%81%D0%B1%D0%BE%D0%BB.pdf 
2024-43/3.1/24;Стрільба з лука;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі стрільби з лука;30.10.2024;43/3.1/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D1%81%D1%82%D1%80%D1%96%D0%BB%D1%8C%D0%B1%D0%B0%20%D0%B7%20%D0%BB%D1%83%D0%BA%D0%B0.pdf 
2024-42/3.3/24;Скелетон;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі скелетону;29.10.2024;42/3.3/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/Skeleton.pdf 
2024-41/3.5/24;Бадмінтон;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Зміни до Правил гри та проведення спортивних змагань з бадмінтону;25.10.2024;41/3.5/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%91%D0%B0%D0%B4%D0%BC%D1%96%D0%BD%D1%82%D0%BE%D0%BD.pdf 
2024-40/3.1/24;Легка атлетика;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила змагань з легкої атлетики 2024 ;25.10.2024;40/3.1/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%BB%D0%B5%D0%B3%D0%BA%D0%B0%20%D0%B0%D1%82%D0%BB%D0%B5%D1%82%D0%B8%D0%BA%D0%B0.pdf 
2024-39/3.2/24;Шашки;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з шашок;24.10.2024;39/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/_2.pdf 
2024-38/3.5/24;Волейбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з волейболу;24.10.2024;38/3.5/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%B2%D0%BE%D0%BB%D0%B5%D0%B9%D0%B1%D0%BE%D0%BB.pdf 
2024-37/3.2/24;Падел;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з паделу зі змінами;23.10.2024;37/3.2/24;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2024/%20%D0%9F%D0%B0%D0%B4%D0%B5%D0%BB.pdf 
