identifier;sportName;type;publisherName;publisherIdentifier;title;dateAccepted;number;status;url
2023-16/5.2/23;Таеквон-До;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з таеквон-До;07.11.2023;16/5.2/23;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2023/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0_%D0%A2%D0%B0%D0%B5%D0%BA%D0%B2%D0%BE%D0%BD-%D0%94%D0%BE_2023.pdf 
2023-15/5.2/23;Регбіліг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з регбіліг;07.11.2023;15/5.2/23;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2023/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0_%D0%A0%D0%B5%D0%B3%D0%B1%D1%96%D0%BB%D1%96%D0%B3_2023.pdf 
2023-14/5.2/23;Шашки;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з шашок;14.09.2023;14/5.2/23;Втратив чинність;null
2023-13/5.2/23;Флорбол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з флорболу;17.08.2023;13/5.2/23;Втратив чинність;null
2023-12/5.2/23;Бодібілдинг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Зміни до Правил спортивних змагань з бодібілдингу;17.08.2023;12/5.2/23;Чинний;null
2023-11/5.2/23;Кікбоксинг WPKA;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з кікбоксингу WPKA;08.08.2023;11/5.2/23;Чинний;null
2023-10/5.2/23;Хортинг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з хортингу;16.06.2023;10/5.2/23;Чинний;null
2023-9/5.2/23;Веслування на човнах «Дракон»;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з веслування на човнах «Дракон»;09.06.2023;9/5.2/23;Втратив чинність;null
2023-8/5.2/23;Джиу-джитсу;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з джиу-джитсу;16.05.2023;8/5.2/23;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2023/%D0%92%D0%B5%D1%81%D0%BB%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%8F%20%D0%BD%D0%B0%20%D0%B1%D0%B0%D0%B9%D0%B4%D0%B0%D1%80%D0%BA%D0%B0%D1%85%20%D1%96%20%D0%BA%D0%B0%D0%BD%D0%BE%D0%B5.pdf
2023-7/5.2/23;Регбіліг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з регбіліг;02.05.2023;7/5.2/23;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2023/pravila%20kikboksingiska.pdf
2023-6/4.2/23;Веслування на байдарках і каное;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з веслування на байдарках і каное;26.04.2023;6/4.2/23;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2023/%D0%90%D1%80%D0%BC%D1%80%D0%B5%D1%81%D1%82%D0%BB%D1%96%D0%BD%D0%B3.pdf
2023-5/5.3/23;Кікбоксинг ВТКА;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з  кікбоксингу ВТКА;07.04.2023;5/5.3/23;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2023/%D0%91%D0%BE%D0%B4%D1%96%D0%B1%D1%96%D0%BB%D0%B4%D0%B8%D0%BD%D0%B3.pdf
2023-4/5.2/23;Армрестлінг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Зміни до Правил спортивних змагань з армрестлінгу;20.03.2023;4/5.2/23;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2023/%D0%9A%D0%BE%D0%BC%D0%B1%D0%B0%D1%82%20%D0%94%D0%B7%D1%8E-%D0%94%D0%B7%D1%8E%D1%86%D1%83.pdf
2023-3/5.2/23;Бодібілдинг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з бодібілдингу;14.03.2023;3/5.2/23;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2023/%D0%90%D0%BA%D1%80%D0%BE%D0%B1%D0%B0%D1%82%D0%B8%D1%87%D0%BD%D0%B8%D0%B9%20%D1%80%D0%BE%D0%BA-%D0%BD-%D1%80%D0%BE%D0%BB_.pdf
2023-2/5.3/23;Комбат Дзю-Дзюцу;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з комбат Дзю-Дзюцу;15.02.2023;2/5.3/23;Втратив чинність;null
2023-1/5.2/23;Акробатичний рок-н-рол;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з акробатичного рок-н-ролу;06.01.2023;1/5.2/23;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2022/%D0%94%D0%B6%D0%B8%D1%83-%D0%B4%D0%B6%D0%B8%D1%82%D1%81%D1%83.pdf
2022-11/5.3/22;Альпінізм;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з альпінізму ;11.08.2022;11/5.3/22;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2022/%D0%9A%D1%96%D0%B1%D0%B5%D1%80%D1%81%D0%BF%D0%BE%D1%80%D1%82_%D0%B7%D0%BC%D1%96%D0%BD%D0%B8.pdf
2022-10/5.2/22;Джиу-джитсу;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила змагань з джиу-джитсу;21.10.2022;10/5.2/22;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2022/%D0%91%D0%BE%D1%80%D0%BE%D1%82%D1%8C%D0%B1%D0%B0%20%D0%B2%D1%96%D0%BB%D1%8C%D0%BD%D0%B0%20%D1%82%D0%B0%20%D0%B1%D0%BE%D1%80%D0%BE%D1%82%D1%8C%D0%B1%D0%B0%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D1%80%D0%B8%D0%BC%D1%81%D1%8C%D0%BA%D0%B0.pdf
2022-9/5.3/22;Кіберспорт (електронний спорт);"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з кіберспорту (електронного спору);11.10.2022;9/5.3/22;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2022/%D0%9F%D0%B0%D0%BD%D0%BA%D1%80%D0%B0%D1%82%D1%96%D0%BE%D0%BD.pdf
2022-8/4.3/22;Боротьба вільна, боротьба греко-римська;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з боротьби вільної та боротьби греко-римської;04.10.2022;8/4.3/22;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2022/%D0%93%D1%80%D0%B5%D0%BF%D0%BF%D0%BB%D1%96%D0%BD%D0%B3.pdf
2022-7/5.2/22;Панкратіон;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортвних змагань з панкратіону;23.08.2022;7/5.2/22;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2022/%D0%90%D1%80%D0%BC%D1%80%D0%B5%D1%81%D1%82%D0%BB%D1%96%D0%BD%D0%B3.pdf
